id,AL,AK,AZ,AR,CA,CO,CT,FL,GA,ID,IL,IN,IA,KS,KY,LA,MD,MA,MI,MN,MS,MO,NE,NV,NJ,NM,NY,NC,OH,OK,OR,RI,SC,TX,UT,VA,WA,cli,ili,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask,travel_outside_state,work_outside_home,shop,restaurant,spent_time,large_event,public_transit,anxious,depressed,worried_finances,tested_positive,cli,ili,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask,travel_outside_state,work_outside_home,shop,restaurant,spent_time,large_event,public_transit,anxious,depressed,worried_finances,tested_positive,cli,ili,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask,travel_outside_state,work_outside_home,shop,restaurant,spent_time,large_event,public_transit,anxious,depressed,worried_finances,tested_positive,cli,ili,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask,travel_outside_state,work_outside_home,shop,restaurant,spent_time,large_event,public_transit,anxious,depressed,worried_finances,tested_positive,cli,ili,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask,travel_outside_state,work_outside_home,shop,restaurant,spent_time,large_event,public_transit,anxious,depressed,worried_finances,tested_positive
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5464773,0.5653127,8.6461927,5.4108035,88.3874531,6.5089148,28.9705576,57.1542206,23.6077656,35.0653888,11.0408989,5.3011917,10.3964927,8.3550978,38.2392697,3.3392698,0.5112158,0.5217492,8.2984761,5.164897,88.3731252,6.385393,28.5403884,57.9672132,23.7651053,34.5169935,11.1391062,5.2565827,10.409482,8.3775001,38.2283858,3.1415929,0.4855162,0.5059841,8.2521946,5.1553033,87.946918,6.4984014,28.1821941,59.138063,24.307887,34.7385163,11.4577136,5.3103521,10.6404123,8.7020699,38.2200866,2.6521739,0.4978832,0.5090127,8.1382403,5.1224223,87.7891594,6.659019,27.4868872,59.7625622,24.7011917,34.785784,11.5069045,5.2003417,10.7449302,9.1291294,37.9666201,2.9806885,0.5039233,0.5143893,8.2314513,5.1694562,87.6428021,6.6262688,27.1522546,61.1413661,25.3168951,35.2532526,11.620706,5.0455904,10.3706317,9.2160688,37.5901359,3.1224655
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7380288,0.7205108,15.0700489,10.990937,80.9432989,10.5967879,36.4358281,61.6531411,31.4492904,43.7513565,16.7525179,4.3856944,11.9117235,9.798448,32.7868022,10.0505469,0.8315858,0.8275232,14.5685036,10.5789237,79.0963913,10.4181708,35.8518041,62.8357196,32.8026369,43.7535248,17.1959221,4.6712009,11.4183141,10.6003107,32.6790304,10.3880843,0.7676425,0.7635799,14.2648616,10.2125288,76.6459843,10.6147306,34.6399605,63.6524365,34.1477136,44.6827273,17.7051403,4.9383566,11.0567246,10.889148,32.9331416,8.7078583,0.7132545,0.7193783,12.8943631,8.9192878,74.6871115,10.523814,33.920257,64.3983799,34.6122383,44.0356879,17.8081034,4.9249347,10.1726619,9.9543328,32.5088806,8.010957,0.6998961,0.7164697,13.4342225,9.2827346,72.4930573,10.4146914,32.767771,65.6205127,35.3517365,44.4121917,17.9354316,4.8144908,10.4858997,10.5671976,33.1130957,9.0290736
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5014484,0.4775962,12.5843439,9.0189314,87.0592441,10.7118625,30.1557762,59.4043649,22.683574,37.8629409,10.706634,4.3018954,12.2944755,9.7337624,30.8805385,4.2721654,0.4405354,0.4701974,12.1386326,8.5776628,86.8057165,10.8505803,29.5159807,60.2738502,22.7658598,38.4101237,10.7089615,4.2560167,12.6420442,9.658512,31.5878098,3.3923394,0.4459805,0.483456,11.8773184,8.4239765,85.8638457,11.1890173,29.8941779,61.6825781,23.7777697,38.7195655,11.1428392,4.5608436,12.9396903,10.0028236,30.8286005,3.0791771,0.4425411,0.4931359,11.552905,8.067186,85.3212452,10.9478456,29.6652866,62.0737111,24.2003625,39.4725303,11.5335602,4.4164356,12.5906496,10.1217802,31.1567632,3.0973433,0.4588556,0.5212692,11.628651,7.9443135,85.2083804,10.8909616,29.8228566,62.2385914,24.8719584,39.2978819,11.7050614,4.3427199,12.804097,10.7202323,31.0967941,3.5714276
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7384095,0.7766832,15.6292374,9.4062272,64.6680597,15.7965694,37.2278177,66.8844491,33.0187993,46.8552606,22.4239039,2.346521,11.731763,10.4583433,38.1702633,11.1642681,0.7820767,0.7762221,15.5030762,9.3777802,63.3952438,15.7344814,37.9218627,67.7677176,33.6788127,46.9865371,22.7821729,1.9046686,12.1089739,10.8502314,38.5029133,11.2605308,0.8991823,0.8934015,14.1018688,8.6294086,62.5803258,15.7657325,37.2910843,67.7260543,34.1376413,47.5156155,22.5276411,2.0785166,12.0788148,10.8607712,37.8255143,9.8284634,1.0428381,1.0371968,13.6030244,8.4817832,62.8222106,15.2613561,36.3026039,68.1629435,34.7675449,46.488364,22.2558737,2.0234109,11.6427217,10.5517564,37.4542496,9.764946,0.9960366,0.9904305,13.5434915,8.6885798,61.4494675,15.7836664,36.9847083,68.897652,36.3824271,46.7577117,23.3208347,2.0612156,11.8181539,10.3570148,38.0934196,9.3982489
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761953,0.6515778,15.4589017,12.1945507,43.5593164,16.3648164,30.5762279,67.4606714,36.9844655,42.0421929,20.0647253,5.4971998,11.8944497,9.2486155,38.2132966,7.0093458,0.7388958,0.6332895,15.8197576,12.3115533,44.0567772,16.3871889,32.545371,66.8671518,38.16044,42.4833933,19.519818,5.5821761,10.7302365,8.1734211,36.9867516,7.9439252,0.766516,0.720205,16.6726062,12.8396972,44.6905011,16.2876372,33.0787228,66.5831416,37.4141519,41.5542217,19.2459733,6.114088,11.5276728,7.8486453,37.6700988,9.375,0.9082008,0.8695472,16.3031914,12.5336673,45.3673313,15.9392241,32.7932953,65.8045799,36.6579561,40.4673813,18.8895606,6.3184396,10.9591641,8.0372505,38.3137142,8.7962963,1.1852988,1.1472628,16.7311808,12.8488074,46.1425491,15.710847,32.474723,65.1005647,35.8165155,39.2280722,18.4558801,6.0492846,9.7900409,8.2155585,38.969841,16.8103448
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6309222,0.6309222,24.4680851,21.1947627,52.4914089,7.7889447,37.6046901,65.5778894,31.9095477,43.1323283,17.6716918,7.2864322,10.0931677,8.5669782,31.8037975,4.368932,0.7990868,0.7990868,24.6341463,21.5447154,54.4166667,7.8990228,37.6422764,65.9349593,30.9756098,43.495935,17.4796748,7.0731707,10.1246106,9.1900312,33.7025316,5.2380952,1.0029718,1.0029718,24.4849445,21.3153724,54.5380875,7.1879937,37.4801902,66.0063391,29.8732171,43.8193344,16.5610143,5.4675119,12.4213836,9.2767296,33.9228296,5.7522124,1.2985376,1.3741805,25.1607717,21.4630225,53.9408867,7.428115,36.1378205,65.7852564,29.8878205,44.6314103,15.625,4.7275641,14.1719745,9.7133758,34.0390879,7.4561404,1.3762626,1.4520202,25.0806452,21.2096774,54.6875,7.5636943,35.2327448,66.6934189,28.6516854,44.2215088,15.1685393,5.3772071,15.8653846,10.4166667,35.6677524,9.2920354
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4457883,0.498993,10.0859512,6.9344983,88.1522175,9.4541254,33.4354615,59.3807072,24.2438104,36.9295877,12.0664893,12.3402846,10.3790489,8.7638263,38.8022678,4.0876772,0.3941972,0.4530846,9.9256074,6.8063164,87.2068969,9.7786487,33.3007307,60.5829431,24.7196159,37.0305116,12.043556,12.6173693,9.9053621,8.591208,38.344338,3.5178781,0.3675568,0.4112525,9.7534082,6.7553537,86.2727801,9.8074374,32.7231556,61.1966358,24.8835679,37.0569139,12.0375103,12.3868014,10.234527,8.8024496,38.5234478,3.6272325,0.3574743,0.3941559,9.7628535,6.7341126,85.0825434,10.0026197,32.6663222,62.0576486,25.4085646,37.3117942,12.1541536,12.0512131,10.4252539,9.0676491,37.8787839,3.2866383,0.3363589,0.3733008,9.610134,6.647171,83.6277287,10.2883622,32.6563746,62.5681279,25.7915842,38.171549,12.7108667,11.9971423,10.4017191,9.1238559,37.3480272,3.02227
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1182383,1.2464851,15.947788,12.4186655,28.5180405,18.0373738,38.9726136,67.0648185,37.3413129,49.4859729,24.1120143,3.9017907,9.8188659,8.5181474,32.4313495,14.4857512,0.8928313,0.9897222,16.1924684,13.0670473,28.6168326,18.0318511,38.73167,67.0861757,37.64603,49.9610212,24.7233691,3.7558822,9.9342283,8.8674798,31.958624,14.7616658,0.9334432,1.0197234,15.8007272,12.3606625,29.5208527,17.9090471,38.7533594,66.7246301,39.2784942,51.0172334,26.0849091,4.0579943,10.539027,8.1118866,33.870817,16.6674324,0.9553317,1.0135882,16.1914832,12.7799724,30.4802052,18.3287203,37.9648816,66.6353048,39.7422342,50.5862949,25.0807417,4.2416779,10.8983897,8.417845,33.9049996,18.2250192,0.8717252,0.9138009,16.7861357,13.0554771,32.4903215,17.3031432,37.5936918,66.5492919,38.56724,50.6747326,24.7675312,3.6603716,10.873962,8.1708638,33.4837614,18.2247296
18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5207531,0.4885673,11.6689599,7.4070472,79.0872698,8.8094104,32.4592264,61.0222132,31.5910455,41.5772777,16.634799,3.6004688,10.6646209,9.1008154,32.3696103,6.8343461,0.5500017,0.5398838,11.4264602,7.0613978,78.2082817,9.0922072,31.5560309,61.6440621,31.5253422,41.3885496,16.820518,3.697936,10.7137297,8.7790415,32.4705266,6.3928253,0.5888919,0.5786676,11.4221055,6.9202477,77.0787233,9.2413081,31.4088902,62.0253427,32.8950927,41.2603165,17.150376,3.9934306,10.8016583,9.2057299,32.3553347,8.3110153,0.6160142,0.5655966,11.0757654,6.9522346,76.355125,9.6936034,30.9089469,64.146217,33.3478854,41.2501924,17.506604,3.9899526,10.9180677,9.3069764,32.9056981,8.8715529,0.6385877,0.5702776,10.8780268,6.7353961,74.530807,10.2561054,30.5361234,64.7863631,34.7085892,42.3703097,18.1923233,4.181361,10.6032153,8.9727358,32.9633522,8.5045076
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6635972,0.6354587,8.4728312,5.1541839,86.7434671,15.9152417,33.0129104,60.1578216,25.3228215,36.4562403,13.3859447,6.700146,9.9499821,7.8335143,38.03648,3.0831107,0.5343944,0.4974347,8.4933526,5.1255525,86.6472891,15.9634962,32.4710932,60.9104107,25.1589668,35.9682069,13.6560704,6.7485569,10.6648756,7.9758209,37.8269241,3.1328337,0.5362243,0.498305,8.2276572,5.2989121,86.2857977,15.7886756,31.9316418,61.2332885,25.1560253,36.0326866,13.8633015,6.8796463,10.7311869,7.8478292,37.1287143,3.4441822,0.4791113,0.4324446,8.0679086,5.3335326,86.3124189,16.477784,31.6046043,62.101064,26.5218748,36.7464532,13.9036667,7.3138326,10.3887123,7.9561389,36.7455876,2.9069774,0.4105394,0.3952207,7.5609026,5.0356493,86.3165632,16.5508282,31.2391151,62.6088222,26.7121372,36.3464879,14.2338968,7.2693005,10.0099384,7.1464415,35.0600606,3.3916856
20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8617621,0.8665196,15.0729494,11.1977745,26.9539516,18.833497,35.5344101,65.5446963,39.1315392,48.175752,23.5611517,3.4172575,11.803724,10.5333516,34.4445017,21.0902171,0.7124682,0.7057864,16.0070265,12.0465357,27.0812043,19.3931948,35.6624627,66.4168035,38.7572324,48.2833646,22.654723,3.312381,11.1499836,9.4140918,34.4140996,19.9250148,0.8383959,0.8318565,16.6910677,12.8126559,27.24495,19.2528347,36.1445236,66.2162754,38.0750207,47.2377957,22.7794423,3.470444,11.4638561,9.6935953,34.8602845,18.8087067,0.8326153,0.8117713,17.5050151,13.899044,27.8534506,19.6748358,35.5685333,65.3176118,37.8052825,47.8039424,23.1436113,3.4812883,10.7149163,9.2340086,35.3228691,18.6132303,0.8833624,0.8518071,18.3469048,14.472414,27.644379,19.5887378,36.3204571,65.2685248,37.2973851,47.3097845,22.615546,3.6264005,11.174155,9.2336914,35.6630753,19.7987654
21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7990868,0.7990868,24.6341463,21.5447154,54.4166667,7.8990228,37.6422764,65.9349593,30.9756098,43.495935,17.4796748,7.0731707,10.1246106,9.1900312,33.7025316,5.2380952,1.0029718,1.0029718,24.4849445,21.3153724,54.5380875,7.1879937,37.4801902,66.0063391,29.8732171,43.8193344,16.5610143,5.4675119,12.4213836,9.2767296,33.9228296,5.7522124,1.2985376,1.3741805,25.1607717,21.4630225,53.9408867,7.428115,36.1378205,65.7852564,29.8878205,44.6314103,15.625,4.7275641,14.1719745,9.7133758,34.0390879,7.4561404,1.3762626,1.4520202,25.0806452,21.2096774,54.6875,7.5636943,35.2327448,66.6934189,28.6516854,44.2215088,15.1685393,5.3772071,15.8653846,10.4166667,35.6677524,9.2920354,1.712828,1.8586006,25.4276827,21.3841369,55.2464229,7.6388889,34.5496894,66.8478261,28.1832298,44.1770186,15.4503106,5.5124224,17.6751592,11.6242038,35.3225806,9.9137931
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.484003,0.5018464,10.8091077,7.5394841,86.572122,10.863195,31.9882757,59.385167,26.9421516,38.9076111,13.7901166,2.7457228,11.5049057,9.9917909,40.7083582,6.2184432,0.4606225,0.47817,10.7552462,7.6085664,86.0508339,11.1545127,32.5230554,60.0747667,29.1002734,39.6460287,14.397774,2.6945984,11.6043061,10.2579937,39.3842024,7.7610716,0.5741506,0.5914183,11.3659312,8.3046232,84.4077496,11.5312325,32.0669059,61.1026633,29.9712994,39.866435,14.6354533,2.8497286,12.1590907,10.9070583,40.2708428,7.2947167,0.7536738,0.7110866,11.1857945,7.6803711,83.9438171,11.1436583,31.0377304,61.3462875,29.3587608,38.9636615,14.0435585,3.0035918,11.6712297,9.8491054,39.2231346,6.7907144,0.8299935,0.8299935,10.5645525,7.2849065,83.1309688,11.2391209,30.5715316,62.1844123,30.6280702,38.5723011,14.3334311,3.111684,12.2174178,10.3531393,38.2085608,8.1362923
